DateKey;FullDateAlternateKey;DayNumberOfWeek;EnglishDayNameOfWeek;SpanishDayNameOfWeek;FrenchDayNameOfWeek;DayNumberOfMonth;DayNumberOfYear;WeekNumberOfYear;EnglishMonthName;SpanishMonthName;FrenchMonthName;MonthNumberOfYear;CalendarQuarter;CalendarYear;CalendarSemester;FiscalQuarter;FiscalYear;FiscalSemester
"20050101";"01-01-2005";"7";"Saturday";"Sábado";"Samedi";"1";"1";"1";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050102";"02-01-2005";"1";"Sunday";"Domingo";"Dimanche";"2";"2";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050103";"03-01-2005";"2";"Monday";"Lunes";"Lundi";"3";"3";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050104";"04-01-2005";"3";"Tuesday";"Martes";"Mardi";"4";"4";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050105";"05-01-2005";"4";"Wednesday";"Miércoles";"Mercredi";"5";"5";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050106";"06-01-2005";"5";"Thursday";"Jueves";"Jeudi";"6";"6";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050107";"07-01-2005";"6";"Friday";"Viernes";"Vendredi";"7";"7";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050108";"08-01-2005";"7";"Saturday";"Sábado";"Samedi";"8";"8";"2";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050109";"09-01-2005";"1";"Sunday";"Domingo";"Dimanche";"9";"9";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050110";"10-01-2005";"2";"Monday";"Lunes";"Lundi";"10";"10";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050111";"11-01-2005";"3";"Tuesday";"Martes";"Mardi";"11";"11";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050112";"12-01-2005";"4";"Wednesday";"Miércoles";"Mercredi";"12";"12";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050113";"13-01-2005";"5";"Thursday";"Jueves";"Jeudi";"13";"13";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050114";"14-01-2005";"6";"Friday";"Viernes";"Vendredi";"14";"14";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050115";"15-01-2005";"7";"Saturday";"Sábado";"Samedi";"15";"15";"3";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050116";"16-01-2005";"1";"Sunday";"Domingo";"Dimanche";"16";"16";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050117";"17-01-2005";"2";"Monday";"Lunes";"Lundi";"17";"17";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
"20050118";"18-01-2005";"3";"Tuesday";"Martes";"Mardi";"18";"18";"4";"January";"Enero";"Janvier";"1";"1";"2005";"1";"3";"2005";"2"
