ProductKey;ProductAlternateKey;ProductSubcategoryKey;WeightUnitMeasureCode;SizeUnitMeasureCode;EnglishProductName;SpanishProductName;FrenchProductName;StandardCost;FinishedGoodsFlag;Color;SafetyStockLevel;ReorderPoint;ListPrice;Size;SizeRange;Weight;DaysToManufacture;ProductLine;DealerPrice;_Class;Style;ModelName;LargePhoto;EnglishDescription;FrenchDescription;ChineseDescription;ArabicDescription;HebrewDescription;ThaiDescription;GermanDescription;JapaneseDescription;TurkishDescription;StartDate;EndDate;Status
"1";"AR-5381";"";"";"";"Adjustable Race";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@14acaea5";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"2";"BA-8327";"";"";"";"Bearing Ball";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5b275dab";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"3";"BE-2349";"";"";"";"BB Ball Bearing";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@61832929";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"4";"BE-2908";"";"";"";"Headset Ball Bearings";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@29774679";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"5";"BL-2036";"";"";"";"Blade";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3ffc5af1";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"6";"CA-5965";"";"";"";"LL Crankarm";"";"";"";"false";"Black";"500";"375";"";"";"NA";"";"0";"";"";"L ";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5e5792a0";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"7";"CA-6738";"";"";"";"ML Crankarm";"";"";"";"false";"Black";"500";"375";"";"";"NA";"";"0";"";"";"M ";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@26653222";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"8";"CA-7457";"";"";"";"HL Crankarm";"";"";"";"false";"Black";"500";"375";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3532ec19";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"9";"CB-2903";"";"";"";"Chainring Bolts";"";"";"";"false";"Silver";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@68c4039c";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"10";"CN-6137";"";"";"";"Chainring Nut";"";"";"";"false";"Silver";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@ae45eb6";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"11";"CR-7833";"";"";"";"Chainring";"";"";"";"false";"Black";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@59f99ea";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"12";"CR-9981";"";"";"";"Crown Race";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@27efef64";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"13";"CS-2812";"";"";"";"Chain Stays";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@6f7fd0e6";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"14";"DC-8732";"";"";"";"Decal 1";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@47c62251";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"15";"DC-9824";"";"";"";"Decal 2";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3e6fa38a";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"16";"DT-2377";"";"";"";"Down Tube";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@66a3ffec";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"17";"EC-M092";"";"";"";"Mountain End Caps";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@77caeb3e";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"18";"EC-R098";"";"";"";"Road End Caps";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1e88b3c";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"19";"EC-T209";"";"";"";"Touring End Caps";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@42d80b78";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"20";"FE-3760";"";"";"";"Fork End";"";"";"";"false";"NA";"800";"600";"";"";"NA";"";"1";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@3bfdc050";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"21";"FH-2981";"";"";"";"Freewheel";"";"";"";"false";"Silver";"500";"375";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@1bce4f0a";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"22";"FW-1000";"";"";"";"Flat Washer 1";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5e3a8624";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
"23";"FW-1200";"";"";"";"Flat Washer 6";"";"";"";"false";"NA";"1000";"750";"";"";"NA";"";"0";"";"";"";"";"";"net.sourceforge.jtds.jdbc.BlobImpl@5c3bd550";"";"";"";"";"";"";"";"";"";"01-07-2003";"";"Current"
